Tct Id,Topic Name,LC URI,LC closeMatch,FAST_URI,FAST closeMatch,VIAF_URI,Wikidata_URI,Wikidata closeMatch
21926,Oliver Twist (Dickens),http://id.loc.gov/authorities/names/nr98012622,,http://id.worldcat.org/fast/1356984,,https://viaf.org/viaf/181459697,https://www.wikidata.org/entity/Q164974,
21927,Oliver Twist (Dickens) -- association of woman with murder and death in,,,,,,,
21932,Othello,,,http://id.worldcat.org/fast/1503880,,,https://www.wikidata.org/entity/Q1966171,
21947,passion,,,http://id.worldcat.org/fast/908819,closeMatch,,https://www.wikidata.org/entity/Q335046,
21966,play,http://id.loc.gov/authorities/subjects/sh85103365,,http://id.worldcat.org/fast/1066938,,,https://www.wikidata.org/entity/Q1150958,
21969,"Pope, Alexander",http://id.loc.gov/authorities/names/n79084387,,http://id.worldcat.org/fast/40041,,https://viaf.org/viaf/61551003,https://www.wikidata.org/entity/Q164047,
21970,pornography,http://id.loc.gov/authorities/subjects/sh85105008,,http://id.worldcat.org/fast/1071875,,,https://www.wikidata.org/entity/Q291,
21980,Principles,,,,,,https://www.wikidata.org/entity/Q211364,
22005,Publications of the Modern Language Association,http://id.loc.gov/authorities/names/no89017892,,,,https://viaf.org/viaf/176396288,,
22052,"Russell, Bertrand",http://id.loc.gov/authorities/names/n79056054,,http://id.worldcat.org/fast/35776,,https://viaf.org/viaf/36924137,https://www.wikidata.org/entity/Q33760,
22080,sex,http://id.loc.gov/authorities/subjects/sh85120549,,http://id.worldcat.org/fast/1114160,,,https://www.wikidata.org/entity/Q290,
22116,Sexuality -- Dickens's insights into,,,,,,,
22117,"Sexuality -- Dickens's repudiation of, in women",,,,,,,
22124,Sexuality -- and Victorian male,,,,,,,
22127,shame,http://id.loc.gov/authorities/subjects/sh85121092,,http://id.worldcat.org/fast/1115183,,,https://www.wikidata.org/entity/Q152282,
22143,Solutions (Dickens) -- in man-woman relationship,,,,,,,
22151,Submission/submissiveness in women -- in Little Dorrit,,,,,,,
22154,Suffering,http://id.loc.gov/authorities/subjects/sh85129634,,http://id.worldcat.org/fast/1137151,,,https://www.wikidata.org/entity/Q5780945,
22160,Symbolism,http://id.loc.gov/authorities/subjects/sh85131408,,http://id.worldcat.org/fast/1140749,,,https://www.wikidata.org/entity/Q13391244,
22163,Symbolism -- in father-daughter relationship,,,,,,,
22175,"Tale of Two Cities, A (Dickens)",http://id.loc.gov/authorities/names/n79136233,,http://id.worldcat.org/fast/1356259,,https://viaf.org/viaf/183065840,https://www.wikidata.org/entity/Q308918,
22183,Themes in Dickens -- in Great Expectations,,,,,,,
22184,Themes in Dickens -- in Little Dorrit,,,,,,,
22186,"Themes in Dickens -- unconscious, in Bleak House",,,,,,,
22187,"Themes in Dickens -- unconscious, in Great Expectations",,,,,,,
22202,"Unconscious dynamics, Dickens's, ex-ternalization of, in image of woman",,,,,,,
22204,Unconscious meaning -- in Dickens's fantasy,,,,,,,
22223,Victorian society,,,,,,,
22233,Victorians,,,,,,,
